## stdin
moduleName                     + offset   cost   jmp    instr  esp        ninstr taken                          - offset   nottaken                       - offset  
edi: 00000000 esi: 00000000 ebp: 00000000 esp: F5B9C228 ebx: 00000000 edx: 00000000 ecx: 00000000 eax: 00000000 eflags: 00000000 
libc-2.23.so                   + 0006A110 (   6) (   0) (   2) (F5B9C150) (   6) libc-2.23.so                   + 0006A137 libc-2.23.so                   + 0006A11E
libc-2.23.so                   + 0006A11E (   4) (   0) (   3) (F5B9C14C) (   4) libc-2.23.so                   + 000683B0 ???                            + 00000000
libc-2.23.so                   + 000683B0 (   8) (   0) (   2) (F5B9C130) (   8) libc-2.23.so                   + 00068420 libc-2.23.so                   + 000683C2
libc-2.23.so                   + 00068420 (   4) (   0) (   2) (F5B9C130) (   4) libc-2.23.so                   + 000683D0 libc-2.23.so                   + 0006842A
libc-2.23.so                   + 000683D0 (   7) (   1) (   3) (F5B9C11C) (   7) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 00069050 (  10) (   0) (   2) (F5B9C100) (  10) libc-2.23.so                   + 000690F8 libc-2.23.so                   + 0006906B
libc-2.23.so                   + 0006906B (   2) (   0) (   1) (F5B9C100) (   2) libc-2.23.so                   + 0006909E ???                            + 00000000
libc-2.23.so                   + 0006909E (   2) (   0) (   2) (F5B9C100) (   2) libc-2.23.so                   + 00069078 libc-2.23.so                   + 000690A4
libc-2.23.so                   + 000690A4 (   5) (   0) (   3) (F5B9C0EC) (   5) libc-2.23.so                   + 000D5B70 ???                            + 00000000
libc-2.23.so                   + 000D5B70 (   2) (   0) (   2) (F5B9C0EC) (   2) libc-2.23.so                   + 000D5BA0 libc-2.23.so                   + 000D5B7A
libc-2.23.so                   + 000D5BA0 (   1) (   0) (   3) (F5B9C0E8) (   1) libc-2.23.so                   + 000F3BA0 ???                            + 00000000
libc-2.23.so                   + 000F3BA0 (   3) (   0) (   3) (F5B9C0DC) (   3) libc-2.23.so                   + 0011FB55 ???                            + 00000000
libc-2.23.so                   + 0011FB55 (   2) (   0) (   0) (F5B9C0E0) (   2) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 000F3BA7 (   7) (   0) (   2) (F5B9C0DC) (   7) libc-2.23.so                   + 000F3BE8 libc-2.23.so                   + 000F3BC0
libc-2.23.so                   + 000F3BC0 (   5) (   0) (   2) (F5B9C0DC) (   5) libc-2.23.so                   + 000F3BE0 libc-2.23.so                   + 000F3BD1
libc-2.23.so                   + 000F3BD1 (   3) (   0) (   2) (F5B9C0DC) (   3) libc-2.23.so                   + 000F3BEC libc-2.23.so                   + 000F3BD9
libc-2.23.so                   + 000F3BD9 (   4) (   0) (   0) (F5B9C0EC) (   4) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 000D5BA5 (   7) (   1) (   3) (F5B9C0E0) (   7) ???                            + 00000000 ???                            + 00000000
[vdso]                         + 00000FE0 (   5) (   0) (   0) (F5B9C0E4) (   5) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 000D5BBF (   3) (   0) (   3) (F5B9C0E4) (   3) libc-2.23.so                   + 000F3C10 ???                            + 00000000
libc-2.23.so                   + 000F3C10 (   5) (   0) (   3) (F5B9C0D0) (   5) libc-2.23.so                   + 0011FB65 ???                            + 00000000
libc-2.23.so                   + 0011FB65 (   2) (   0) (   0) (F5B9C0D4) (   2) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 000F3C19 (   4) (   0) (   2) (F5B9C0C8) (   4) libc-2.23.so                   + 000F3C50 libc-2.23.so                   + 000F3C26
libc-2.23.so                   + 000F3C26 (   8) (   0) (   2) (F5B9C0C8) (   8) libc-2.23.so                   + 000F3C60 libc-2.23.so                   + 000F3C48
libc-2.23.so                   + 000F3C48 (   3) (   0) (   2) (F5B9C0C8) (   3) libc-2.23.so                   + 000F3C68 libc-2.23.so                   + 000F3C50
libc-2.23.so                   + 000F3C50 (   6) (   0) (   0) (F5B9C0E8) (   6) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 000D5BC8 (   3) (   0) (   2) (F5B9C0EC) (   3) libc-2.23.so                   + 00018730 libc-2.23.so                   + 000D5BD4
libc-2.23.so                   + 000D5BD4 (   1) (   0) (   0) (F5B9C0F0) (   1) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 000690B1 (   3) (   0) (   2) (F5B9C100) (   3) libc-2.23.so                   + 00069096 libc-2.23.so                   + 000690B8
libc-2.23.so                   + 00069096 (   4) (   0) (   2) (F5B9C100) (   4) libc-2.23.so                   + 000690F0 libc-2.23.so                   + 0006909E
