## 
moduleName                     + offset   cost   jmp    instr  esp        ninstr taken                          - offset   nottaken                       - offset  
libfmi.so                      + 00000DAF (   5) (   0) (   3) (F689C22C) (   5) libfmi.so                      + 00000DA7 ???                            + 00000000
ld-2.23.so                     + 000090A3 (  15) (   0) (   2) (F689C078) (  15) ld-2.23.so                     + 000095A0 ld-2.23.so                     + 000090D2
ld-2.23.so                     + 000090D2 (   4) (   0) (   2) (F689C078) (   4) ld-2.23.so                     + 00009108 ld-2.23.so                     + 000090E2
ld-2.23.so                     + 00009108 (   3) (   0) (   2) (F689C078) (   3) ld-2.23.so                     + 00009010 ld-2.23.so                     + 00009114
ld-2.23.so                     + 00009010 (   4) (   0) (   2) (F689C078) (   4) ld-2.23.so                     + 00009108 ld-2.23.so                     + 00009024
ld-2.23.so                     + 00009024 (   4) (   0) (   2) (F689C078) (   4) ld-2.23.so                     + 00009041 ld-2.23.so                     + 00009034
ld-2.23.so                     + 00009041 (   2) (   0) (   2) (F689C078) (   2) ld-2.23.so                     + 00009108 ld-2.23.so                     + 0000904E
ld-2.23.so                     + 0000904E (   3) (   0) (   2) (F689C078) (   3) ld-2.23.so                     + 00009120 ld-2.23.so                     + 0000905F
ld-2.23.so                     + 0000905F (   4) (   0) (   2) (F689C078) (   4) ld-2.23.so                     + 00009108 ld-2.23.so                     + 00009071
ld-2.23.so                     + 00009071 (  11) (   0) (   2) (F689C078) (  11) ld-2.23.so                     + 00009160 ld-2.23.so                     + 000090A3
ld-2.23.so                     + 000090A3 (  15) (   0) (   2) (F689C078) (  15) ld-2.23.so                     + 000095A0 ld-2.23.so                     + 000090D2
ld-2.23.so                     + 000090D2 (   4) (   0) (   2) (F689C078) (   4) ld-2.23.so                     + 00009108 ld-2.23.so                     + 000090E2
ld-2.23.so                     + 00009108 (   3) (   0) (   2) (F689C078) (   3) ld-2.23.so                     + 00009010 ld-2.23.so                     + 00009114
ld-2.23.so                     + 00009010 (   4) (   0) (   2) (F689C078) (   4) ld-2.23.so                     + 00009108 ld-2.23.so                     + 00009024
ld-2.23.so                     + 00009024 (   4) (   0) (   2) (F689C078) (   4) ld-2.23.so                     + 00009041 ld-2.23.so                     + 00009034
ld-2.23.so                     + 00009041 (   2) (   0) (   2) (F689C078) (   2) ld-2.23.so                     + 00009108 ld-2.23.so                     + 0000904E
ld-2.23.so                     + 0000904E (   3) (   0) (   2) (F689C078) (   3) ld-2.23.so                     + 00009120 ld-2.23.so                     + 0000905F
ld-2.23.so                     + 0000905F (   4) (   0) (   2) (F689C078) (   4) ld-2.23.so                     + 00009108 ld-2.23.so                     + 00009071
ld-2.23.so                     + 00009071 (  11) (   0) (   2) (F689C078) (  11) ld-2.23.so                     + 00009160 ld-2.23.so                     + 000090A3
ld-2.23.so                     + 000090A3 (  15) (   0) (   2) (F689C078) (  15) ld-2.23.so                     + 000095A0 ld-2.23.so                     + 000090D2
ld-2.23.so                     + 000090D2 (   4) (   0) (   2) (F689C078) (   4) ld-2.23.so                     + 00009108 ld-2.23.so                     + 000090E2
ld-2.23.so                     + 00009108 (   3) (   0) (   2) (F689C078) (   3) ld-2.23.so                     + 00009010 ld-2.23.so                     + 00009114
ld-2.23.so                     + 00009114 (   7) (   0) (   0) (F689C0E8) (   7) ???                            + 00000000 ???                            + 00000000
ld-2.23.so                     + 00009B4B (   3) (   0) (   2) (F689C118) (   3) ld-2.23.so                     + 00009B10 ld-2.23.so                     + 00009B53
ld-2.23.so                     + 00009B10 (   1) (   0) (   2) (F689C118) (   1) ld-2.23.so                     + 00009B1A ld-2.23.so                     + 00009B12
ld-2.23.so                     + 00009B1A (   5) (   0) (   2) (F689C118) (   5) ld-2.23.so                     + 00009B53 ld-2.23.so                     + 00009B25
ld-2.23.so                     + 00009B25 (  15) (   0) (   3) (F689C0E4) (  15) ld-2.23.so                     + 00008FC0 ???                            + 00000000
ld-2.23.so                     + 00008FC0 (   5) (   0) (   3) (F689C0D0) (   5) ld-2.23.so                     + 000198C9 ???                            + 00000000
ld-2.23.so                     + 000198C9 (   2) (   0) (   0) (F689C0D4) (   2) ???                            + 00000000 ???                            + 00000000
ld-2.23.so                     + 00008FC9 (  23) (   0) (   2) (F689C078) (  23) ld-2.23.so                     + 00009108 ld-2.23.so                     + 00009024
ld-2.23.so                     + 00009024 (   4) (   0) (   2) (F689C078) (   4) ld-2.23.so                     + 00009041 ld-2.23.so                     + 00009034
ld-2.23.so                     + 00009041 (   2) (   0) (   2) (F689C078) (   2) ld-2.23.so                     + 00009108 ld-2.23.so                     + 0000904E
ld-2.23.so                     + 0000904E (   3) (   0) (   2) (F689C078) (   3) ld-2.23.so                     + 00009120 ld-2.23.so                     + 0000905F
ld-2.23.so                     + 0000905F (   4) (   0) (   2) (F689C078) (   4) ld-2.23.so                     + 00009108 ld-2.23.so                     + 00009071
ld-2.23.so                     + 00009071 (  11) (   0) (   2) (F689C078) (  11) ld-2.23.so                     + 00009160 ld-2.23.so                     + 000090A3
ld-2.23.so                     + 000090A3 (  15) (   0) (   2) (F689C078) (  15) ld-2.23.so                     + 000095A0 ld-2.23.so                     + 000090D2
ld-2.23.so                     + 000095A0 (   7) (   0) (   2) (F689C078) (   7) ld-2.23.so                     + 000090D2 ld-2.23.so                     + 000095B9
ld-2.23.so                     + 000095B9 (  10) (   0) (   1) (F689C078) (  10) ld-2.23.so                     + 000095EB ???                            + 00000000
ld-2.23.so                     + 000095EB (   5) (   0) (   2) (F689C078) (   5) ld-2.23.so                     + 000095E0 ld-2.23.so                     + 000095F5
ld-2.23.so                     + 000095E0 (   3) (   0) (   2) (F689C078) (   3) ld-2.23.so                     + 000097FB ld-2.23.so                     + 000095EB
ld-2.23.so                     + 000095EB (   5) (   0) (   2) (F689C078) (   5) ld-2.23.so                     + 000095E0 ld-2.23.so                     + 000095F5
ld-2.23.so                     + 000095F5 (  18) (   0) (   3) (F689C054) (  18) ld-2.23.so                     + 00008E30 ???                            + 00000000
ld-2.23.so                     + 00008E30 (   5) (   0) (   3) (F689C040) (   5) ld-2.23.so                     + 000198C9 ???                            + 00000000
ld-2.23.so                     + 000198C9 (   2) (   0) (   0) (F689C044) (   2) ???                            + 00000000 ???                            + 00000000
